"2002","42393","","",""
"2003","50133","","",""
"2004","64883","","",""
"2005","86142","","",""
"2006","107753","","",""
"2007","142719","","",""
"2008","179992","","",""
"2009","117228","","",""
"2010","136419","","",""
"2011","163160","","",""
"2012","175781","","",""
"2013","183310","","",""
"2014","131805","","",""
"2015","90615","","",""
"2016","93270","","",""
"2017","112154","","",""
"2018","130832","","",""
"2019","153781","","",""
"2020","155582","","",""
"2021","200090","","",""
"","","","",""
"","","","",""
